nm/pH,0.3,3.45,3.79,4.3,4.7,5.07,13
561,0.0399,0.2585,0.5167,0.8243,1.0896,1.0896,1.2117
562,0.0395,0.2626,0.5257,0.8386,1.1087,1.1087,1.2323
563,0.0386,0.2674,0.5362,0.8559,1.1316,1.1316,1.2577
564,0.038,0.273,0.5477,0.8742,1.1564,1.1564,1.2855
565,0.0375,0.2785,0.5588,0.8933,1.18,1.18,1.3136
566,0.037,0.2839,0.5706,0.9117,1.204,1.204,1.3403
567,0.0364,0.2901,0.5832,0.9322,1.2326,1.2326,1.3703
568,0.0361,0.2959,0.5958,0.9529,1.2585,1.2585,1.4005
569,0.0357,0.3031,0.6094,0.9745,1.2873,1.2873,1.4333
570,0.035,0.3095,0.6239,0.9978,1.3187,1.3187,1.4663
571,0.035,0.3173,0.6387,1.0224,1.3497,1.3497,1.5004
572,0.0344,0.3248,0.6553,1.0485,1.3841,1.3841,1.5393
573,0.0342,0.3319,0.67,1.072,1.4151,1.4151,1.5737
574,0.0336,0.3401,0.6862,1.0978,1.4487,1.4487,1.6106
575,0.0334,0.3485,0.704,1.1251,1.4864,1.4864,1.6519
576,0.0333,0.3573,0.7213,1.1541,1.5223,1.5223,1.6904
577,0.033,0.3661,0.7402,1.1832,1.558,1.558,1.7305
578,0.0326,0.3755,0.7599,1.215,1.6,1.6,1.7741
579,0.0322,0.3852,0.779,1.2452,1.6403,1.6403,1.8187
580,0.0319,0.3953,0.7989,1.2777,1.6817,1.6817,1.8629
581,0.0319,0.4043,0.8186,1.3071,1.7205,1.7205,1.9037
582,0.0314,0.4138,0.8369,1.3382,1.7581,1.7581,1.9466
583,0.031,0.423,0.8565,1.3692,1.7993,1.7993,1.9872
584,0.0311,0.4315,0.8737,1.3958,1.8343,1.8343,2.0256
585,0.0305,0.4396,0.8908,1.4231,1.8694,1.8694,2.0611
586,0.0303,0.4477,0.9068,1.4494,1.902,1.902,2.0961
587,0.0308,0.4551,0.9214,1.4717,1.932,1.932,2.129
588,0.0301,0.4603,0.933,1.4908,1.9562,1.9562,2.1551
589,0.0296,0.4648,0.9413,1.5056,1.9755,1.9755,2.176
590,0.0294,0.4681,0.9483,1.5164,1.9895,1.9895,2.1926
591,0.0293,0.4695,0.9515,1.5214,1.9951,1.9951,2.1996
592,0.0292,0.4696,0.9517,1.5217,1.9954,1.9954,2.1996
593,0.029,0.4682,0.9487,1.5165,1.9891,1.9891,2.1951
594,0.0285,0.4647,0.9413,1.5058,1.9744,1.9744,2.1778
595,0.0283,0.4599,0.9314,1.489,1.9539,1.9539,2.1559
596,0.0281,0.4538,0.9188,1.4692,1.9274,1.9274,2.1275
597,0.0279,0.4459,0.9024,1.4414,1.8923,1.8923,2.0904
598,0.0277,0.4365,0.8841,1.4116,1.8514,1.8514,2.0469
599,0.0275,0.4257,0.861,1.3744,1.8038,1.8038,1.9939
600,0.0271,0.4114,0.8308,1.3257,1.7393,1.7393,1.923
601,0.0267,0.395,0.7973,1.2709,1.669,1.669,1.8459
602,0.0267,0.3779,0.7625,1.2161,1.595,1.595,1.7644
603,0.0263,0.3616,0.73,1.162,1.5235,1.5235,1.6908
604,0.026,0.3463,0.6985,1.1128,1.4619,1.4619,1.6175
605,0.0258,0.3303,0.6652,1.06,1.3895,1.3895,1.5412
606,0.0259,0.3141,0.6321,1.0062,1.3201,1.3201,1.4647
607,0.0256,0.2972,0.5984,0.9512,1.2472,1.2472,1.3826
608,0.0251,0.2775,0.5577,0.8876,1.1617,1.1617,1.2901
609,0.025,0.2596,0.5225,0.8305,1.0853,1.0853,1.2058
610,0.0248,0.2432,0.4885,0.7761,1.0207,1.0207,1.131
611,0.0246,0.2275,0.4567,0.7261,0.9492,0.9492,1.0545
612,0.0245,0.2125,0.4266,0.675,0.8865,0.8865,0.9841
613,0.0242,0.1967,0.3939,0.6265,0.8185,0.8185,0.91
614,0.0243,0.1819,0.3644,0.579,0.7582,0.7582,0.8437
615,0.0237,0.1685,0.3365,0.5336,0.699,0.699,0.7786
616,0.0236,0.1537,0.3071,0.4866,0.6372,0.6372,0.7102
617,0.0236,0.1423,0.2833,0.4477,0.588,0.588,0.6554
618,0.0235,0.1306,0.2605,0.4121,0.5408,0.5408,0.6055
619,0.0231,0.1192,0.2382,0.3751,0.493,0.493,0.5524
620,0.023,0.1086,0.2163,0.3415,0.4485,0.4485,0.5036
621,0.0224,0.0994,0.1982,0.3126,0.4099,0.4099,0.4608
622,0.0227,0.0909,0.1802,0.2853,0.3749,0.3749,0.4203
623,0.0221,0.0829,0.164,0.2583,0.3395,0.3395,0.3816
624,0.0221,0.0751,0.1478,0.2334,0.3074,0.3074,0.3466
625,0.0222,0.0684,0.1353,0.2127,0.2798,0.2798,0.3156
626,0.0221,0.0628,0.1233,0.1941,0.2555,0.2555,0.2887
627,0.0219,0.0563,0.1113,0.1752,0.231,0.231,0.2615
628,0.0217,0.0522,0.1024,0.1609,0.2122,0.2122,0.24
629,0.0214,0.0481,0.0938,0.1468,0.1942,0.1942,0.22
630,0.0216,0.0436,0.0848,0.1328,0.1753,0.1753,0.1986
631,0.0214,0.0394,0.0765,0.1195,0.1576,0.1576,0.1796
632,0.0212,0.0356,0.0691,0.1076,0.1426,0.1426,0.1623
633,0.0208,0.0327,0.0627,0.0972,0.1286,0.1286,0.1465
634,0.0211,0.0299,0.0566,0.0882,0.1173,0.1173,0.1333
635,0.021,0.0271,0.0515,0.0795,0.1052,0.1052,0.121
636,0.0208,0.025,0.0466,0.0727,0.096,0.096,0.1104
637,0.0203,0.023,0.0427,0.0655,0.0874,0.0874,0.1004
638,0.0206,0.0207,0.0382,0.0586,0.0786,0.0786,0.0903
639,0.0203,0.0189,0.0349,0.0535,0.0714,0.0714,0.0823
640,0.0205,0.0177,0.0319,0.0491,0.0648,0.0648,0.0745
641,0.0208,0.0159,0.0286,0.0435,0.0583,0.0583,0.0673
642,0.0204,0.0153,0.0261,0.0392,0.0525,0.0525,0.0611
643,0.0199,0.0132,0.0232,0.0352,0.0479,0.0479,0.055
644,0.0197,0.0122,0.0214,0.0317,0.0428,0.0428,0.0495
645,0.02,0.0117,0.0195,0.0292,0.0389,0.0389,0.0451
646,0.0196,0.0105,0.0174,0.0262,0.0351,0.0351,0.0409
647,0.0196,0.0096,0.0159,0.0236,0.032,0.032,0.0373
648,0.0194,0.0088,0.0148,0.0216,0.0291,0.0291,0.0337
649,0.0193,0.008,0.0127,0.0193,0.0261,0.0261,0.0306
650,0.0195,0.008,0.0124,0.0179,0.0242,0.0242,0.0284
651,0.0192,0.0072,0.0111,0.0161,0.0221,0.0221,0.0253
652,0.0193,0.0067,0.0101,0.0147,0.0198,0.0198,0.0233
